feature,importance
monthly_watch_hours,0.153872937212636
engagement_score,0.13629178157789165
avg_watch_duration,0.09712246034062064
watch_vs_trend_ratio,0.07764443113036877
rolling_3m_watch_avg,0.061831243156903144
delta_watch_hours,0.05344296075028027
watch_decay_ratio,0.034164894805407756
watch_momentum_ratio,0.030782223467139824
watch_volatility_3m,0.030011962993022525
account_age_days,0.028526286865825506
avg_progress_percentage,0.026661603195091484
subscription_tenure_days,0.026545944238566637
monthly_spend,0.026024446574625694
previous_month_watch_hours,0.022344927363588476
age,0.02209503486017075
monthly_sessions,0.021551574813236683
active_days_in_month,0.0203120512524981
days_since_last_watch,0.019596240274097874
sessions_vs_trend_ratio,0.010232436819154285
session_decay_ratio,0.009789785646665114
delta_sessions,0.009126119634866306
household_size,0.009027795906953202
distinct_devices_used,0.008789433018436196
inactivity_streak,0.008382838360461959
rolling_3m_sessions_avg,0.008352421095361023
session_volatility_3m,0.005983553774556274
avg_user_rating,0.004072441698305229
gender_Male,0.0034614292362129297
subscription_plan_Premium,0.0032287255196193523
subscription_plan_Standard,0.0031525920878451843
completion_ratio,0.0030837324877711373
download_sessions,0.002849472462556943
country_USA,0.0028411241377968278
completed_sessions,0.002798152373726551
previous_month_sessions,0.002195561643119974
primary_device_Laptop,0.002181330973373453
primary_device_Gaming Console,0.0020306337988935893
primary_device_Tablet,0.001964145615043002
primary_device_Mobile,0.001893574275001786
primary_device_Smart TV,0.0018578204918447115
subscription_plan_Premium+,0.0013232185001552984
gender_Unknown,0.0010921669688337193
gender_Prefer not to say,0.0008077660291904451
gender_Other,0.0006587225722836553
